"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor4/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor5/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor6/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor7/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor8/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor9/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 20:52:32,,,267,460,,,,,,,267
2026-08-11 20:52:32,,,,,,234,,,,,
2026-08-11 20:52:32,439,,,,,,,,,,
2026-08-11 20:52:32,,540,,,,,,,,540,
2026-08-11 20:52:33,,,,451,483,,,,,,
2026-08-11 20:52:33,,,290,,,235,,,,,290
2026-08-11 20:52:33,540,,,,,,,,,,
2026-08-11 20:52:33,,575,,,,,,,,575,
2026-08-11 20:52:34,,,,467,516,,,,,,
2026-08-11 20:52:34,,,341,,,262,,,,,341
2026-08-11 20:52:34,380,,,,,,,,,,
2026-08-11 20:52:34,,527,,,,,,,,527,
2026-08-11 20:52:35,,,,409,464,,,,,,
2026-08-11 20:52:35,,,314,,,,,,,,314
2026-08-11 20:52:35,,,,,,267,,,,,
2026-08-11 20:52:35,409,,,,,,,,,,
2026-08-11 20:52:35,,,,,396,,,,,,
2026-08-11 20:52:36,,667,251,,,,,,,667,251
2026-08-11 20:52:36,,,,,,254,,,,,
2026-08-11 20:52:36,,,,729,,,,,,,
2026-08-11 20:52:36,374,,,,,,,,,,
2026-08-11 20:52:37,,589,,,,,,,,589,
2026-08-11 20:52:37,,,370,,589,,,,,,370
2026-08-11 20:52:37,,,,617,,,,,,,
2026-08-11 20:52:37,,,,,,432,,,,,
2026-08-11 20:52:37,491,,,,,,,,,,
2026-08-11 20:52:38,,,,,413,,,,,,
2026-08-11 20:52:38,,,274,,,,,,,,274
2026-08-11 20:52:38,,,,,,245,,,,,
2026-08-11 20:52:38,,1231,,724,,,,,,1231,
2026-08-11 20:52:38,578,,,,,,,,,,
2026-08-11 20:52:39,,,,,438,,,,,,
2026-08-11 20:52:39,,,338,,,,,,,,338
2026-08-11 20:52:39,,,,580,,,,,,,
2026-08-11 20:52:39,,1074,,,,,,,,1074,
2026-08-11 20:52:39,,,,,,645,,,,,
2026-08-11 20:52:40,592,,,,,,,,,,
2026-08-11 20:52:40,,,352,,420,,,,,,352
2026-08-11 20:52:40,,885,,,,,,,,885,
2026-08-11 20:52:40,,,,,,511,,,,,
2026-08-11 20:52:40,,,,909,,,,,,,
2026-08-11 20:52:41,641,,,,,,,,,,
2026-08-11 20:52:41,,,,394,754,,,,,,
2026-08-11 20:52:41,,,,,,539,,,,,
2026-08-11 20:52:41,,1293,871,,,,,,,1293,871
2026-08-11 20:52:42,615,,,,,,,,,,
2026-08-11 20:52:42,,,,,427,,,,,,
2026-08-11 20:52:42,,,545,,,240,,,,,545
2026-08-11 20:52:42,,,,767,,,,,,,
2026-08-11 20:52:42,497,1178,,,,,,,,1178,
2026-08-11 20:52:43,,,,,457,,,,,,
2026-08-11 20:52:43,,,,,,254,,,,,
2026-08-11 20:52:43,,931,792,,,,,,,931,792
2026-08-11 20:52:43,,,,839,,,,,,,
2026-08-11 20:52:44,516,,,,,,,,,,
2026-08-11 20:52:44,,,,,371,,,,,,
2026-08-11 20:52:44,,758,,,,232,,,,758,
2026-08-11 20:52:44,,,669,688,,,,,,,669
2026-08-11 20:52:44,352,,,,,,,,,,
2026-08-11 20:52:45,,,,,395,,,,,,
2026-08-11 20:52:45,,,552,,,231,,,,,552
2026-08-11 20:52:45,,813,,648,,,,,,813,
2026-08-11 20:52:45,381,,,,,,,,,,
2026-08-11 20:52:46,,,,,420,,,,,,
2026-08-11 20:52:46,,,601,,,282,,,,,601
2026-08-11 20:52:46,,816,,,,,,,,816,
2026-08-11 20:52:46,363,,,663,,,,,,,
2026-08-11 20:52:47,,,,,413,,,,,,
2026-08-11 20:52:47,,,611,,,289,,,,,611
2026-08-11 20:52:47,,809,,,,,,,,809,
2026-08-11 20:52:47,,,,633,,,,,,,
2026-08-11 20:52:48,375,,,,,,,,,,
2026-08-11 20:52:48,,,510,,414,,,,,,510
2026-08-11 20:52:48,,802,,,,407,,,,802,
2026-08-11 20:52:48,,,,596,,,,,,,
2026-08-11 20:52:49,351,,,,,,,,,,
2026-08-11 20:52:49,,,515,,402,,,,,,515
2026-08-11 20:52:49,,792,,,,414,,,,792,
2026-08-11 20:52:49,,,,576,,,,,,,
2026-08-11 20:52:50,376,,,,,,,,,,
2026-08-11 20:52:50,,,397,,515,,,,,,397
2026-08-11 20:52:50,,780,,,,413,,,,780,
2026-08-11 20:52:51,360,,,584,,,,,,,
2026-08-11 20:52:51,,,384,,484,,,,,,384
2026-08-11 20:52:51,,,,,,411,,,,,
2026-08-11 20:52:51,,767,,,,,,,,767,
2026-08-11 20:52:52,,,,574,,,,,,,
2026-08-11 20:52:52,372,,,,,,,,,,
2026-08-11 20:52:52,,,,,,253,,,,,
2026-08-11 20:52:52,,,,,624,,,,,,
2026-08-11 20:52:52,,852,,,,,,,,852,
