"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 07:30:00,,,303
2026-08-11 07:30:01,580,,
2026-08-11 07:30:01,,617,
2026-08-11 07:30:02,,475,319
2026-08-11 07:30:02,741,,
2026-08-11 07:30:03,524,,324
2026-08-11 07:30:04,1273,,1003
2026-08-11 07:30:05,,,383
2026-08-11 07:30:05,603,,
2026-08-11 07:30:06,,3369,
2026-08-11 07:30:06,,2520,
2026-08-11 07:30:06,,1653,
2026-08-11 07:30:06,,813,
2026-08-11 07:30:06,1120,,
2026-08-11 07:30:07,,,1312
2026-08-11 07:30:07,,,499
2026-08-11 07:30:07,618,,
2026-08-11 07:30:07,,677,
2026-08-11 07:30:08,,,293
2026-08-11 07:30:08,,400,
2026-08-11 07:30:08,688,,
2026-08-11 07:30:08,,,227
2026-08-11 07:30:09,432,,
2026-08-11 07:30:09,,411,
2026-08-11 07:30:09,,,223
2026-08-11 07:30:10,643,394,
2026-08-11 07:30:10,,,227
2026-08-11 07:30:11,427,,
2026-08-11 07:30:11,,546,
2026-08-11 07:30:11,,,222
2026-08-11 07:30:12,801,523,
2026-08-11 07:30:12,,,223
2026-08-11 07:30:13,431,,
2026-08-11 07:30:13,,546,
2026-08-11 07:30:13,,,222
2026-08-11 07:30:14,,498,
2026-08-11 07:30:14,742,,225
2026-08-11 07:30:15,429,,
2026-08-11 07:30:15,,530,
2026-08-11 07:30:15,,,221
2026-08-11 07:30:16,,480,
2026-08-11 07:30:16,684,,220
2026-08-11 07:30:17,430,,
2026-08-11 07:30:17,,428,
2026-08-11 07:30:18,,,221
2026-08-11 07:30:18,712,489,
2026-08-11 07:30:19,,,286
2026-08-11 07:30:19,532,,
2026-08-11 07:30:20,,563,
2026-08-11 07:30:20,,,331
2026-08-11 07:30:20,,478,
2026-08-11 07:30:21,781,,
2026-08-11 07:30:21,,,446
2026-08-11 07:30:21,527,,
2026-08-11 07:30:22,,565,
2026-08-11 07:30:22,,,455
2026-08-11 07:30:23,762,481,
2026-08-11 07:30:23,,,423
2026-08-11 07:30:23,526,,
2026-08-11 07:30:24,,449,366
2026-08-11 07:30:25,,504,
2026-08-11 07:30:25,,,419
2026-08-11 07:30:25,945,,
2026-08-11 07:30:26,546,455,
2026-08-11 07:30:26,,,457
2026-08-11 07:30:27,,,300
2026-08-11 07:30:27,709,654,
2026-08-11 07:30:28,553,,
2026-08-11 07:30:28,,452,512
2026-08-11 07:30:29,,705,581
2026-08-11 07:30:29,1043,,
2026-08-11 07:30:30,,,219
2026-08-11 07:30:30,515,,
2026-08-11 07:30:30,,598,
2026-08-11 07:30:31,,,222
2026-08-11 07:30:31,486,,
2026-08-11 07:30:31,,571,
2026-08-11 07:30:32,,,307
2026-08-11 07:30:32,536,,
2026-08-11 07:30:32,,576,
2026-08-11 07:30:33,,,215
2026-08-11 07:30:33,469,,
2026-08-11 07:30:33,,564,
2026-08-11 07:30:34,495,,243
2026-08-11 07:30:34,,576,
2026-08-11 07:30:35,,,321
2026-08-11 07:30:35,537,,
2026-08-11 07:30:35,,603,
2026-08-11 07:30:36,,,230
2026-08-11 07:30:36,444,,
2026-08-11 07:30:36,,615,
2026-08-11 07:30:37,,,223
2026-08-11 07:30:37,457,,
2026-08-11 07:30:37,,616,
2026-08-11 07:30:38,,,223
2026-08-11 07:30:38,435,,
2026-08-11 07:30:38,,566,
2026-08-11 07:30:39,,,223
2026-08-11 07:30:39,665,,
2026-08-11 07:30:39,,700,
2026-08-11 07:30:40,,,224
2026-08-11 07:30:40,412,,
2026-08-11 07:30:40,,559,
2026-08-11 07:30:41,,,225
2026-08-11 07:30:41,414,,
2026-08-11 07:30:41,,574,
2026-08-11 07:30:42,,,224
2026-08-11 07:30:42,436,,
2026-08-11 07:30:42,,559,
2026-08-11 07:30:43,,,218
2026-08-11 07:30:43,412,,
2026-08-11 07:30:43,,551,
2026-08-11 07:30:44,,,230
2026-08-11 07:30:44,413,,
2026-08-11 07:30:44,,551,
2026-08-11 07:30:45,,,225
2026-08-11 07:30:45,501,,
2026-08-11 07:30:46,,552,
2026-08-11 07:30:46,,,250
2026-08-11 07:30:46,502,,
2026-08-11 07:30:47,,546,
2026-08-11 07:30:47,,,309
2026-08-11 07:30:48,505,,
2026-08-11 07:30:48,,570,
2026-08-11 07:30:48,,,376
2026-08-11 07:30:49,495,,
2026-08-11 07:30:49,,555,
2026-08-11 07:30:49,,,376
2026-08-11 07:30:50,493,,
2026-08-11 07:30:50,,523,
2026-08-11 07:30:50,,,414
2026-08-11 07:30:51,504,457,
2026-08-11 07:30:51,,,301
2026-08-11 07:30:52,514,,
2026-08-11 07:30:52,,497,227
2026-08-11 07:30:53,508,,
2026-08-11 07:30:53,,477,256
2026-08-11 07:30:54,508,,291
2026-08-11 07:30:54,,468,
2026-08-11 07:30:55,502,,322
2026-08-11 07:30:55,,454,
2026-08-11 07:30:56,518,,
2026-08-11 07:30:56,,,373
2026-08-11 07:30:56,,556,
2026-08-11 07:30:57,,,327
2026-08-11 07:30:57,,392,
2026-08-11 07:30:58,,,324
2026-08-11 07:30:59,,,419
2026-08-11 07:31:00,,,486
2026-08-11 07:31:01,,,427
2026-08-11 07:31:02,,1165,
2026-08-11 07:31:02,,,583
2026-08-11 07:31:02,,496,
2026-08-11 07:31:03,1006,,
2026-08-11 07:31:03,,,224
2026-08-11 07:31:03,385,,
2026-08-11 07:31:03,,404,
2026-08-11 07:31:04,,,320
2026-08-11 07:31:04,547,,
2026-08-11 07:31:04,,452,
2026-08-11 07:31:05,,,224
2026-08-11 07:31:05,404,,
2026-08-11 07:31:05,,405,
2026-08-11 07:31:06,,,361
2026-08-11 07:31:06,561,,
2026-08-11 07:31:06,,382,
2026-08-11 07:31:07,,,226
2026-08-11 07:31:07,409,,
2026-08-11 07:31:07,,399,
2026-08-11 07:31:08,,,227
2026-08-11 07:31:08,542,,
2026-08-11 07:31:08,,386,
2026-08-11 07:31:09,,,223
2026-08-11 07:31:09,397,,
2026-08-11 07:31:10,,413,
2026-08-11 07:31:10,,,226
2026-08-11 07:31:10,533,,
2026-08-11 07:31:11,,386,
2026-08-11 07:31:11,,,228
2026-08-11 07:31:11,401,,
2026-08-11 07:31:12,,477,236
2026-08-11 07:31:12,411,,
2026-08-11 07:31:13,,393,
2026-08-11 07:31:13,,,222
2026-08-11 07:31:13,499,,
2026-08-11 07:31:14,,405,253
2026-08-11 07:31:14,410,,
2026-08-11 07:31:15,,386,
2026-08-11 07:31:15,,,364
2026-08-11 07:31:15,391,,
2026-08-11 07:31:16,,,235
2026-08-11 07:31:16,,608,
2026-08-11 07:31:16,418,,
2026-08-11 07:31:17,,,224
2026-08-11 07:31:17,,555,
2026-08-11 07:31:18,427,,
2026-08-11 07:31:18,,,221
2026-08-11 07:31:18,,560,
2026-08-11 07:31:19,414,,
2026-08-11 07:31:19,,,257
2026-08-11 07:31:19,,412,
2026-08-11 07:31:20,394,,
2026-08-11 07:31:20,,650,
2026-08-11 07:31:21,410,,
2026-08-11 07:31:21,,393,
2026-08-11 07:31:22,396,,
2026-08-11 07:31:22,,645,
2026-08-11 07:31:23,524,,
2026-08-11 07:31:23,,492,
2026-08-11 07:31:24,481,,
2026-08-11 07:31:24,,642,
2026-08-11 07:31:25,410,,
2026-08-11 07:31:25,,408,
2026-08-11 07:31:26,389,,
2026-08-11 07:31:27,,661,
2026-08-11 07:31:27,408,,
2026-08-11 07:31:27,,405,
2026-08-11 07:31:28,390,,
2026-08-11 07:31:29,,642,
2026-08-11 07:31:29,405,,
2026-08-11 07:31:30,,396,
2026-08-11 07:31:30,394,,
2026-08-11 07:31:31,,646,
2026-08-11 07:31:31,410,,
2026-08-11 07:31:32,,405,
2026-08-11 07:31:32,388,,
2026-08-11 07:31:33,,666,
2026-08-11 07:31:33,410,,
2026-08-11 07:31:34,,390,
2026-08-11 07:31:34,392,,
2026-08-11 07:31:35,,633,
2026-08-11 07:31:35,516,,
2026-08-11 07:31:36,,488,
2026-08-11 07:31:36,479,,
2026-08-11 07:31:37,,645,
2026-08-11 07:31:37,500,,
2026-08-11 07:31:38,,501,
2026-08-11 07:31:38,485,,
2026-08-11 07:31:39,,640,
2026-08-11 07:31:39,478,,
2026-08-11 07:31:40,,553,
2026-08-11 07:31:41,477,,
2026-08-11 07:31:41,,531,
2026-08-11 07:31:42,476,,
2026-08-11 07:31:42,,390,
2026-08-11 07:31:43,453,,
2026-08-11 07:31:43,,629,
2026-08-11 07:31:44,476,,
2026-08-11 07:31:44,,496,
2026-08-11 07:31:45,457,,
2026-08-11 07:31:45,,550,
2026-08-11 07:31:46,389,,
2026-08-11 07:31:46,,402,
2026-08-11 07:31:47,455,,
2026-08-11 07:31:47,,666,
2026-08-11 07:31:48,471,,
2026-08-11 07:31:48,,393,
2026-08-11 07:31:49,467,,
2026-08-11 07:31:49,,637,
2026-08-11 07:31:50,482,,
2026-08-11 07:31:50,,403,
2026-08-11 07:31:51,457,,
2026-08-11 07:31:51,,629,
2026-08-11 07:31:52,477,,
2026-08-11 07:31:52,,462,
2026-08-11 07:31:53,455,,
2026-08-11 07:31:54,,598,
2026-08-11 07:31:54,489,,
2026-08-11 07:31:55,,473,
2026-08-11 07:31:55,459,,
2026-08-11 07:31:55,,388,
2026-08-11 07:31:56,477,,
2026-08-11 07:31:57,,374,
2026-08-11 07:31:57,458,,
2026-08-11 07:31:58,,488,
2026-08-11 07:31:58,470,,
2026-08-11 07:31:59,,358,
2026-08-11 07:31:59,474,,
2026-08-11 07:32:00,,490,
2026-08-11 07:32:00,486,,
2026-08-11 07:32:01,,382,
2026-08-11 07:32:01,457,,
2026-08-11 07:32:02,,479,
2026-08-11 07:32:02,483,,
2026-08-11 07:32:03,,633,
2026-08-11 07:32:03,452,,
2026-08-11 07:32:04,,564,
2026-08-11 07:32:04,479,,
2026-08-11 07:32:05,,635,
2026-08-11 07:32:05,453,,
